epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,275.067,0.65654,2.22947,0.33684,0.83991,0.81126,0.83262,0.51561,0.41152,0.46741,0.18889,0.000414901,0.000414901,0.000414901
2,540.116,0.42549,0.46508,0.16589,0.83835,0.7841,0.79666,0.48257,0.43127,0.46859,0.19967,0.000823335,0.000823335,0.000823335
3,804.035,0.42388,0.44648,0.16409,0.85556,0.83839,0.86339,0.53063,0.40857,0.42976,0.18582,0.00122352,0.00122352,0.00122352
4,1068.72,0.40526,0.4403,0.15408,0.88037,0.87744,0.87376,0.55893,0.38305,0.4076,0.17809,0.00121287,0.00121287,0.00121287
5,1333.07,0.39975,0.4295,0.15276,0.88262,0.86533,0.88638,0.56487,0.37705,0.42446,0.17545,0.0012005,0.0012005,0.0012005
6,1597.47,0.39533,0.42733,0.15342,0.88247,0.88913,0.89289,0.57673,0.37629,0.40586,0.17445,0.00118812,0.00118812,0.00118812
7,1861.73,0.38217,0.41481,0.14673,0.91468,0.90338,0.91785,0.59322,0.37228,0.38872,0.17674,0.00117575,0.00117575,0.00117575
8,2125.82,0.376,0.40829,0.14373,0.90239,0.89438,0.90977,0.58882,0.37253,0.40441,0.17266,0.00116337,0.00116337,0.00116337
9,2388.93,0.37366,0.40861,0.1438,0.91524,0.92234,0.93019,0.60626,0.36521,0.38422,0.17096,0.001151,0.001151,0.001151
10,2653.31,0.36608,0.40339,0.13834,0.91667,0.9085,0.92417,0.60765,0.36305,0.38652,0.16955,0.00113863,0.00113863,0.00113863
11,2917.78,0.36117,0.39524,0.13824,0.93155,0.91961,0.93482,0.61582,0.35713,0.37922,0.16649,0.00112625,0.00112625,0.00112625
12,3182.26,0.35975,0.39309,0.13637,0.91911,0.92394,0.93177,0.61531,0.36058,0.37414,0.16743,0.00111388,0.00111388,0.00111388
13,3445.54,0.35489,0.39301,0.13556,0.92863,0.91423,0.9314,0.61288,0.35891,0.38396,0.16492,0.0011015,0.0011015,0.0011015
14,3707.86,0.35509,0.39095,0.13533,0.92352,0.92432,0.93023,0.61834,0.35679,0.37465,0.16419,0.00108913,0.00108913,0.00108913
15,3971.03,0.36109,0.39011,0.13755,0.92471,0.92192,0.9268,0.6161,0.35501,0.37828,0.16312,0.00107675,0.00107675,0.00107675
16,4233.29,0.34942,0.3842,0.13366,0.91603,0.92086,0.92821,0.61844,0.35249,0.38663,0.16434,0.00106437,0.00106437,0.00106437
17,4496.95,0.35238,0.38986,0.13406,0.92151,0.92636,0.9323,0.61356,0.35725,0.38219,0.16671,0.001052,0.001052,0.001052
18,4759.45,0.34704,0.38529,0.13192,0.92759,0.92062,0.93544,0.62008,0.35189,0.37956,0.16146,0.00103962,0.00103962,0.00103962
19,5023.06,0.34496,0.38428,0.13052,0.9222,0.91265,0.93084,0.62036,0.35084,0.38556,0.16234,0.00102725,0.00102725,0.00102725
20,5287.05,0.33939,0.38117,0.13004,0.92101,0.90808,0.92437,0.61515,0.35525,0.38301,0.16565,0.00101488,0.00101488,0.00101488
21,5550.46,0.34117,0.38371,0.1284,0.93109,0.93126,0.94339,0.62618,0.34624,0.38644,0.16159,0.0010025,0.0010025,0.0010025
22,5814.8,0.3323,0.37571,0.12347,0.92242,0.92757,0.93247,0.62219,0.34894,0.37937,0.16191,0.000990125,0.000990125,0.000990125
23,6077.62,0.33566,0.3801,0.12546,0.9184,0.91254,0.92598,0.62119,0.3529,0.38849,0.16549,0.00097775,0.00097775,0.00097775
24,6338.69,0.33018,0.37505,0.12509,0.92727,0.92928,0.94026,0.62894,0.34525,0.38089,0.16345,0.000965375,0.000965375,0.000965375
25,6602.52,0.33071,0.3754,0.12192,0.93812,0.93271,0.94468,0.63317,0.34432,0.37203,0.15964,0.000953,0.000953,0.000953
26,6865.03,0.32825,0.37201,0.12459,0.91677,0.93068,0.93414,0.62675,0.34575,0.37992,0.16153,0.000940625,0.000940625,0.000940625
27,7126.7,0.32235,0.36868,0.12163,0.9287,0.93357,0.94188,0.63048,0.34743,0.37247,0.16147,0.00092825,0.00092825,0.00092825
28,7388.97,0.32765,0.37063,0.12375,0.93715,0.94321,0.94867,0.6395,0.34098,0.36764,0.15972,0.000915875,0.000915875,0.000915875
29,7652.3,0.31913,0.36549,0.12048,0.93807,0.93287,0.94065,0.63017,0.34593,0.37003,0.15761,0.0009035,0.0009035,0.0009035
30,7914.7,0.31893,0.36105,0.11924,0.93944,0.93527,0.94421,0.63821,0.33864,0.36507,0.15752,0.000891125,0.000891125,0.000891125
31,8177.19,0.31697,0.36388,0.11879,0.9392,0.93585,0.94645,0.63647,0.34083,0.36584,0.15818,0.00087875,0.00087875,0.00087875
32,8439.46,0.31533,0.36417,0.11789,0.9366,0.93496,0.94642,0.63401,0.34339,0.37329,0.16332,0.000866375,0.000866375,0.000866375
